uuid,signature,status,error,error_message,sender_wallet,token_type,token_symbol,token_mint_address,time_stamp,recipient_wallet,amount
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,4FR3gkFqdn5PnCDzvPw71x6RdHEGCY3w6niPktziWURf,0.003779
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,GbbWBamWDeAPEu7mt6vYWrseHxRBTDSUwLEyDEruK2PL,0.001796
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,8X7xbFzgtUdoQVmWFsQAoDa9e5nqf4cp6Jks5MTafw3z,0.001687
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,7Gh3NSYMLaGeNh6LmCkDJjMFAAYXiyyL4HwzWZxv3SE6,0.002517
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,JEGW3LJxiUzYTZyqemtvvMdc1n9VixFzdaxVVjmkF9KH,0.006391
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,D81pZuWkFyrF8HF21SDpuNmDztCbCKwpdiZEp9NB8Hbk,0.003299
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,BAiYMXmbVj1FedxCLSicHZW5bhMgsonDZ7cUB1hh5KMK,0.003074
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,5qhEM9M7gJ1pdps2CTvJkeFEVtfV6xEvT4Qnn1eERPwN,0.003723
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,5RwqNghEb12LGGDaCGnxhyuocHXVXznWTgJYbA8fvQR75oxz7aNSAK32iCS1ZN8aCQyToj45oCZoH69QFWAkZE3h,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,7ToJyL9Jvxz8nCaiHsuFvwKAA7cJMkh1VUSXpve8oj6p,0.005074
c05c8c3a-a869-4015-9cb6-b919fc0cfd67,2he7WVBdzLQb5LuspHYfz2PsicZDXcKcPdK8vEqNancoAhNu6JsyMQU5uYGU26ZYYCjtM1pPcab1BjNAWSn2CTpR,success,,,5vavpkjjTUhanGrLNR2XJPNonaH9ayvsDPk4iJtXa2YQ,SPL,SOL,SOL,20250314T023007Z,58PcB7PrycjcsFFjKDfDVWnVop2vQVCKARkrb22HCY72,0.008446
